headlines,label
Kumele ufifiyele ukuze ubone izinguquko ezingaphandle kwiVW Polo Vivo,ezezimoto
USam Sam ufuna ukushawa kwezidudla kusabalale umhlaba wonke,ezezimoto
Bayifuna kuleli i-Formula One,ezezimoto
IMahindra igubha ewu-20 ngeSUV entsha i-3XO,ezezimoto
Okumele ukuqaphele uma uthenga imoto esidlangaleni,ezezimoto
Bafuna ukushubisa umbango ngeFord Tourneo elungele umndeni nebhizinisi,ezezimoto
Bekushunqa uthuli kwiZwartkops Top of the Hill Challenge,ezezimoto
Kwengezwe injini eyongayo kadizili kwi-Audi Q3,ezezimoto
Kwehle izinga lokuthengwa kwezimoto ezintsha,ezezimoto
ULucas Radebe useyinxusa lakwaVW,ezezimoto
Nentatheli yeSolezwe izoba inukisa ithayi eZwartkops,ezezimoto
Ngeke umthinte ngesipanela oweMumbo Repairs,ezezimoto
Ziqalile ukudayisa kuleli ezakwaJetour yaseChina,ezezimoto
IHyundai idoba abathengi ngeSUV entsha i-Exter,ezezimoto
Balamanise ngeSUV entsha i-Emkoo kwaGAC Motor,ezezimoto
Amathiphu angakusiza uma uthenga imoto eyisekeni,ezezimoto
Ziyinyama ezingamasekeni kunezimoto ezintsha,ezezimoto
Ungakugwema ukudunwa imoto,ezezimoto
Ayifakwe endalini iVW ID.4 kagesi,ezezimoto
IToyota Corolla sedan ayisenantanga yize i-SUV isezithendeni,ezezimoto
IWesBank ibona yehla inzalo yemalimboleko,ezezimoto
Kwethulwe izimoto ezintsha kwi-festival yezimoto,ezezimoto
I-Opel empini yokubuyisa idumela layo lakuqala,ezezimoto
Kuthuthukiswe intandokazi iVW Polo Vivo,ezezimoto
I-BMW M2 ayifuni uyibhayizele,ezezimoto
I-Gac Motor yethule imoto yayo yokuqala i-GS3 Emzoom,ezezimoto
Izodala amathuba omsebenzi ifemu kaR1.2bn yamaphathi ezimoto,ezezimoto
Ugqugquzela abesifazane ukuthi bangene kweyezimoto,ezezimoto
Inothe ngokuningi iGWM Tank 500 ye ‘million’ efike neveni iP500,ezezimoto
Amakhono abashayeli besifazane okumele bazihlomise ngawo,ezezimoto
Wonga uphethroli uhambe ngogesi kwiLexus NX450h+,ezezimoto
Abayonanga ngezinguquko iKia Sonet,ezezimoto
"Kukhalwa ngamazinga ezokuphepha kwezakwaRenault, Kia neSuzuki",ezezimoto
UJoy ucwaninga ngezimoto ezifanele elakuleli kwaToyota,ezezimoto
‘Ubukhosi’ be-cruise control budinga ulwazi,ezezimoto
Kuthuthukiswe iVW Touareg,ezezimoto
Unxenxa abesifazane ukuthi bangene kuma-4x4,ezezimoto
Umncanyana iKia Picanto uyathandeka kodwa intengo…,ezezimoto
I-Isuzu igubha iminyaka engu-45 ngeD-Max yekhethelo,ezezimoto
Izindlela zokuvikela amathayi emaseleni,ezezimoto
Kunyukile ukuthengwa kwezimoto ngoJulayi,ezezimoto
Bazohleka bodwa abanikazi bezimoto ngoLwesithathu,ezezimoto
I-Apple CarPlay ne-Android Auto kwenza impilo ibe lula,ezezimoto
"IToyota ayimile ‘ukuqhulula’, isilethe iStarlet eyi-SUV",ezezimoto
IsiseMome eyenkampani yabakhiqizi bezimoto baseChina kuleli,ezezimoto
‘Kuzonyuka ukuthengwa kwezimoto?’,ezezimoto
Idle ngobukhulu ngaphakathi iHonda Elevate,ezezimoto
Ifike isilindwe yinqwaba iToyota Land Cruiser Prado entsha,ezezimoto
Izindlela zokunakekela ibhethri ebusika,ezezimoto
I-VW iqhubeka nocwaningo ngezikagesi ngokuletha i-ID.4,ezezimoto
Kuthuthukiswe iHyundai i20 ukushubisa umbango,ezezimoto
Qonda ngezimoto ezingama-hybrid,ezezimoto
Uzovalwa thaqa uN3 ngaseHammarsdale,ezezimoto
Iyonga kuphethroli iToyota Corolla hybrid,ezezimoto
Uyakhohlwa ukuthi imoto yempahla iFord Transit Custom uma ukuyona,ezezimoto
Ishintshiwe yafakwa nenjini kagesi iToyota Hilux,ezezimoto
Injabulo uMcKenzie ethembisa ukushaya izidudla kube semthethweni,ezezimoto
Iyakhanga iVolvo EX30 kodwa ithothene ngaphakathi,ezezimoto
Iyaheha i-Isuzu D-Max X-Rider entsha,ezezimoto
IJaecoo J7 izoheha abaningi ngefika nakho,ezezimoto
Injabulo u-Edna etheleka eKapa,ezezimoto
Ithuthukiswe kwengezwa nentsha iKia Sonet,ezezimoto
Yethulwe nezinguquko ezinqala iBMW X3 entsha,ezezimoto
Yinkulu iCooper Countryman entsha futhi yakhiwe eGermany,ezezimoto
Uyakhohlwa uhamba ngeveni kwiFord Ranger Platinum,ezezimoto
Kusolwa iMercedes ngomhobholo njengoba ihlela ukudiliza,ezezimoto
Akuvuthondaba amalungiselelo eGas Motorshow engempelasonto,ezezimoto
Igcine ikhishiwe intengo yeMercedes-AMG C63 S E Performance,ezezimoto
Ongakwenza ukugwema ukuthi ibhange lidle imoto,ezezimoto
Zinkani zababili phakathi kweVW neSuzuki,ezezimoto
Ishintshe ngokuningi iToyota Hilux GR-S III,ezezimoto
I-Jac Motors igubha iminyaka eyisikhombisa ngokuqinisa uzinzo kuleli,ezezimoto
Iyathandeka iFord Everest Wildtrak kodwa iyadla nasephaketheni,ezezimoto
Banqabe iToyota Hilux GR-S III abebenikwa yona abahamba ngo-Edna,ezezimoto
Kungenele iToyota kufa iHilux ebizwa ngo-Edna,ezezimoto
Aqalile ukudayisa amaveni amasha akwa-LDV,ezezimoto
Kuyaqala ukwakhiwa kwefemu yakwaStellantis ezokhiqiza izimoto ezingu-500 000 ngonyaka,ezezimoto
Qaphela lokhu uma uthenge imoto ngesikweletu,ezezimoto
I-BMW 7 Series iqokwe njenge-2024 SA Car of the Year,ezezimoto
Ihamba kangcono futhi inesikhala iSuzuki Jimny eyengezwe izicabha,ezezimoto
Yakhelwe ubhuqu iFord Ranger Tremor engekho ntofontofo etiyeleni,ezezimoto
Ubuye ufise amandla athe xaxa kwiSuzuki XL6,ezezimoto
I-Suzuki isidlula iVW eNingizimu Afrika,ezezimoto
Ayikhethi minyaka iKia Picanto ethuthukisiwe,ezezimoto
Bekushubile kwiNissan Spirit of Africa,ezezimoto
Iheha ngokuningi iKia Seltos ethuthukisiwe,ezezimoto
Ikulungele ukuncintisana nezinegama kuleli iLexus RX,ezezimoto
I-Kia iveze okokuqala iveni iTasman ezodayisa e-Afrika,ezezimoto
IStellantis imemezele izimoto ezozethula maduze,ezezimoto
Okubhekwayo uma uvula isikweletu sokuthenga imoto,ezezimoto
I-Volkswagen itshala uR4 billion wokukhiqiza imoto entsha kuleli,ezezimoto
Iheha ngobuhle iFord esanda kuphuma,ezezimoto
I-VW inwebe igebe phakathi kwayo neSuzuki,ezezimoto
Ubudlelwano beSuzuki neToyota sebuzale i-Urban Cruiser Taisor,ezezimoto
Siphinde sehla isibalo sezimoto ezidayisiwe,ezezimoto
Kwengezwe izinhlobo ezintsha zamaFord Ranger,ezezimoto
I-AA ifuna uhulumeni enze okuthe xaxa ukunqanda izingozi zomgwaqo,ezezimoto
Inkampani yaseChina iLDV izokwethula amaveni ayo kuleli,ezezimoto
Bayiphambanisa neSuzuki Ertiga i-XL6,ezezimoto
USam Sam uphucwe kowamanqamu isicoco seRed Bull Shay’iMoto,ezezimoto
